epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1797.24,0.69478,0.45227,1.07938,0.95689,0.90464,0.95517,0.75504,0.81498,0.44967,1.12263,0.000466779,0.000466779,0.000466779
43,1839.8,0.68669,0.44358,1.07303,0.93001,0.91765,0.95315,0.73934,0.84893,0.4537,1.12408,0.000451066,0.000451066,0.000451066
44,1881.8,0.67624,0.43436,1.06539,0.93404,0.90748,0.95334,0.7438,0.84194,0.45715,1.12229,0.000435353,0.000435353,0.000435353
45,1924.18,0.67999,0.44154,1.06281,0.95057,0.90658,0.95353,0.74595,0.83028,0.44852,1.11122,0.000419641,0.000419641,0.000419641
46,1965.99,0.6722,0.42739,1.06046,0.95471,0.91606,0.96374,0.7519,0.81717,0.42457,1.11108,0.000403928,0.000403928,0.000403928
47,2007.88,0.66503,0.42907,1.06258,0.95748,0.90265,0.96081,0.76642,0.76071,0.43167,1.07937,0.000388215,0.000388215,0.000388215
48,2050.27,0.65685,0.41918,1.04922,0.958,0.90375,0.95932,0.75653,0.79364,0.43902,1.10257,0.000372502,0.000372502,0.000372502
49,2091.99,0.64426,0.40622,1.0418,0.94816,0.92719,0.96577,0.76621,0.77503,0.42196,1.09088,0.00035679,0.00035679,0.00035679
50,2133.7,0.64736,0.40268,1.04181,0.94845,0.91871,0.96146,0.76738,0.78104,0.41414,1.08968,0.000341077,0.000341077,0.000341077
51,2176.38,0.63541,0.40316,1.04165,0.95801,0.91922,0.96375,0.77249,0.74773,0.40807,1.06951,0.000325364,0.000325364,0.000325364
52,2225.49,0.62759,0.39857,1.03284,0.95098,0.92634,0.95985,0.77526,0.73684,0.40787,1.06659,0.000309652,0.000309652,0.000309652
53,2267.99,0.61874,0.38234,1.02687,0.95131,0.92187,0.96444,0.77951,0.7342,0.40201,1.06144,0.000293939,0.000293939,0.000293939
54,2313.34,0.6259,0.39678,1.03122,0.94366,0.91961,0.9592,0.78001,0.7105,0.41858,1.05629,0.000278226,0.000278226,0.000278226
55,2355.89,0.60735,0.38512,1.02373,0.95502,0.91908,0.96047,0.79201,0.69046,0.39761,1.04738,0.000262513,0.000262513,0.000262513
56,2398.63,0.59443,0.38214,1.01645,0.94367,0.9105,0.96082,0.78956,0.69973,0.40884,1.04618,0.000246801,0.000246801,0.000246801
57,2440.5,0.59649,0.37532,1.01613,0.94797,0.9325,0.96426,0.79731,0.6695,0.38599,1.03982,0.000231088,0.000231088,0.000231088
58,2488.5,0.58349,0.36497,1.0091,0.96319,0.92058,0.96373,0.79188,0.67092,0.39276,1.03805,0.000215375,0.000215375,0.000215375
59,2530.53,0.57495,0.3578,1.00905,0.97018,0.92523,0.96366,0.79967,0.65301,0.37447,1.02389,0.000199663,0.000199663,0.000199663
60,2573.2,0.57902,0.35908,1.00725,0.96307,0.92748,0.96874,0.80994,0.63742,0.37026,1.02462,0.00018395,0.00018395,0.00018395
61,2616.77,0.49839,0.25673,0.94676,0.9582,0.93225,0.96841,0.81172,0.63238,0.36818,1.02083,0.000168237,0.000168237,0.000168237
62,2659.24,0.49484,0.25192,0.94809,0.96368,0.92271,0.97112,0.81389,0.62143,0.36016,1.01303,0.000152524,0.000152524,0.000152524
63,2701.68,0.48195,0.24767,0.9386,0.96349,0.93324,0.96924,0.81612,0.61936,0.36512,1.01834,0.000136812,0.000136812,0.000136812
64,2744.24,0.48054,0.24672,0.93811,0.95547,0.94111,0.96578,0.81539,0.61081,0.36088,1.01585,0.000121099,0.000121099,0.000121099
65,2786.21,0.4753,0.24374,0.93311,0.94949,0.94364,0.96904,0.81668,0.60248,0.36558,1.00688,0.000105386,0.000105386,0.000105386
66,2833.98,0.46594,0.23896,0.93272,0.96558,0.93675,0.96485,0.81856,0.60362,0.35607,1.00553,8.96736e-05,8.96736e-05,8.96736e-05
67,2876.55,0.45349,0.23245,0.92475,0.95609,0.94154,0.96372,0.8153,0.60386,0.36168,1.0073,7.39609e-05,7.39609e-05,7.39609e-05
68,2918.48,0.45209,0.23291,0.92607,0.9635,0.93826,0.96471,0.82133,0.58425,0.35233,0.99631,5.82481e-05,5.82481e-05,5.82481e-05
69,2965.63,0.44753,0.22965,0.92215,0.96229,0.93822,0.96698,0.82717,0.58389,0.34676,1.00118,4.25354e-05,4.25354e-05,4.25354e-05
70,3007.95,0.44235,0.2273,0.91493,0.96207,0.93663,0.96651,0.82364,0.58302,0.34516,1.00125,2.68227e-05,2.68227e-05,2.68227e-05
